	Japanese	English	Japanese Example	English Sentence	listening score	speaking score
76	きめる	decide, agree upon	きこく する こと に <b>きめました</b>	I've decided to go back to my country.	0	0
77	きまる	be decided	りょこう の にってい が <b>きまりました</b>	I've decided on my travel schedule.	0	0
78	しる	know	だれ も その はなし を <b>しらない</b>	No one knows that story.	0	0
79	いちばん	most	かれ は くらす で <b>いちばん</b> せ が たかい	He's the tallest in class.	0	0
80	なまえ	name	あなた の <b>なまえ</b> を おしえて ください	Please tell me your name.	0	0
81	たべもの	food	にっぽん の <b>たべもの</b> は とても おいしい です	Japanese food is very delicious.	0	0
82	いつ	when	かのじょ は <b>いつ</b> きます か	When is she coming?	0	0
83	のみもの	beverage, drink	なに か <b>のみもの</b> が ほしい な 。	I could really use something to drink.	0	0
84	かるい	light, light weight	この くつ は とても <b>かるい</b>	These shoes are very light.	0	0
85	きもち	feeling, sensation	かれ の <b>きもち</b> が わからない	I don't understand his feelings.	0	0
86	きん	gold, sum of money, Friday	かのじょ は <b>きん</b> の ねっくれす を して います	She's wearing a gold necklace.	0	0
87	いきる	live (one's life)	みんな いっしょうけんめい <b>いきて いる</b>	They're all living their lives the best way that they can.	0	0
88	どちら	which	にく と さかな と <b>どちら</b> が すき です か	Which do you prefer, meat or fish?	0	0
89	せんせい	teacher	わたし は にほんご の <b>せんせい</b> に なりたい です	I want to become a Japanese teacher.	0	0
90	だいがく	university, college	<b>だいがく</b> に いって もっと べんきょう したい です	I want to go to college and study more.	0	0
91	がくせい	student	かれ は まじめ な <b>がくせい</b> です	He's a serious student.	0	0
92	だいがくせい	university student	あね は <b>だいがくせい</b> です	My big sister's a college student.	0	0
93	がっこう	school	<b>がっこう</b> は はちじはん に はじまります	School starts at 8:30.	0	0
94	やる	do@give (to an inferior)	いっしょ に しゅくだい を <b>やろう</b>@いぬ に えさ を <b>やった</b>	Let's do our homework together.@I fed the dog.	0	0
95	こうこうせい	high school student	わたし の おとうと は <b>こうこうせい</b> です	My little brother's a high school student.	0	0
96	おしえる	teach, tell	かれ は すうがく を <b>おしえて います</b>	He teaches mathematics.	0	0
97	べんきょう	study	わたし は にほんご を <b>べんきょう</b> して います	I'm studying Japanese.	0	0
98	つよい	strong	きょう は かぜ が <b>つよい</b>	There's a strong wind today.	0	0
99	なに	what, which	ゆうしょく に は <b>なに</b> を たべたい です か	What would you like for supper?	0	0
100	なん	what, which	しつもん は <b>なん</b> です か	What's the question?	0	0
101	どれ	what, which	この なか で <b>どれ</b> が すき です か	Which of these do you like?	0	0
102	よわい	weak	その こ は からだ が すこし <b>よわい</b>	That child has a somewhat weak constitution.	0	0
103	しつもん	question	<b>しつもん</b> の ある かた は どうぞ	Please feel free to ask any questions.	0	0
104	むずかしい	difficult	この ほん は <b>むずかしい</b> です ね	This book is difficult.	0	0
105	かず	number	ぐらす の <b>かず</b> が たりません	There are not enough glasses.	0	0
106	かつ	win	きょう は やんきーす が <b>かった</b>	The Yankees won today.	0	0
107	まける	lose	わたしたち の ちーむ は その しあい で <b>まけた</b>	Our team lost the game.	0	0
108	ほんとうに	really, truly	あなた が <b>ほんとうに</b> すき です	I really like you.	0	0
109	ドア	door	<b>どあ</b> を あけて ください	Please open the door.	0	0
110	とけい	clock, watch	<b>とけい</b> を みたら ちょうど さんじ だった	I looked at the clock and it was exactly three.	0	0
111	はらう	pay	わたし が <b>はらいましょう</b>	Let me pay for that.	0	0
112	きる	cut@wear, put on	この かみ を はんぶん に <b>きって</b> ください@きょう は すーつ を <b>きて います</b>	Please cut this paper in half.@I'm wearing a suit today.	0	0
113	もう	already, yet@another, again	かれ は <b>もう</b> かえりました 。@こーひー を <b>もう</b> いっぱい ください	He's already gone home.@Please give me another cup of coffee.	0	0
114	すわる	sit, sit down	わたし は まどがわ の せき に <b>すわった</b>	I sat in a window seat.	0	0
115	つぎ	next	<b>つぎ</b> は いつ あいましょう か	When shall we meet again?	0	0
116	しゃべる	chat, talk	かのじょ は よく <b>しゃべる</b> ね	She really likes to chat, doesn't she?	0	0
117	うごく	move	<b>うごかない で</b>	Freeze!	0	0
118	はたらく	work	あね は ぎんこう で <b>はたらいています</b>。	My big sister works at a bank.	0	0
119	き	tree, wood@spirit, temperament	たいふう で <b>き</b> が たおれた@かれ は いがい に <b>き</b> が ちいさい	The tree fell because of the typhoon.@He's unexpectedly timid.	0	0
120	はやい	early@fast	まだ がっこう へ いく に は <b>はやい</b> じかん です@かれ は はしる の が <b>はやい</b>	It's still too early to go to school.@He runs fast.	0	0
121	おそい	slow, late	まえ の くるま は とても <b>おそい</b>	The car in front is very slow.	0	0
122	はじめる	begin, start	てすと を <b>はじめて</b> ください	Please start the test.	0	0
123	はじまる	begin	あたらしい しごと が <b>はじまりました</b>	My new job started.	0	0
124	おわる	finish, end	かいぎ は よじ に <b>おわります</b>	The conference ends at four o'clock.	0	0
125	おわり	end, conclusion	なつやすみ も もう <b>おわり</b> だ	Summer vacation's already over.	0	0
126	テーブル	table	あたらしい <b>てーぶる</b> を かいました	I bought a new table.	0	0
127	きょねん	last year	わたし は <b>きょねん</b> ふらんす へ いった	I went to France last year.	0	0
128	たのしむ	enjoy	きょう は ひとり の じかん を <b>たのしみたい</b>	Today I would like to enjoy some time to myself.	0	0
129	たのしい	fun, enjoyable	かれ は とても <b>たのしい</b> ひと です	He's very fun to be with.	0	0
130	うたう	sing	わたしたち は おおき な こえ で <b>うたいました</b>	We sang loudly.	0	0
131	ほしい	want, desire	ぼく は あたらしい くつ が <b>ほしい</b> です	I want new shoes.	0	0
132	いろ	color	すてき な <b>いろ</b> の せーたー です ね	That sweater is a wonderful color.	0	0
133	ちゃいろ	light brown	かのじょ は <b>ちゃいろ</b> の くつ を はいて います	She's wearing brown shoes.	0	0
134	すぐ	at once, soon	<b>すぐ</b> いきます	I'll go right away.	0	0
135	ゲーム	game	わたしたち は びでお<b>げーむ</b> を した	We played a video game.	0	0
136	かきなおす	rewrite	この しょるい を <b>かきなおして</b> ください	Please rewrite this document.	0	0
137	まがる	turn	そこ を ひだり に <b>まがって</b> ください	Please turn left there.	0	0
138	おなじ	same, identical	かれ の にほんご の れべる は わたし と <b>おなじ</b> くらい だ	His Japanese level is about the same as mine.	0	0
139	ちがう	differ, be wrong	こたえ が <b>ちがいます</b>	That's the wrong answer.	0	0
140	としょかん	library	<b>としょかん</b> で りょうり の ほん を かりた	I borrowed a cookbook from the library.	0	0
141	あそぶ	play	こどもたち が こうえん で <b>あそんで いる</b>	The children are playing in the park.	0	0
142	どうして	why	<b>どうして</b> ないて いる の	Why are you crying?	0	0
143	おとうさん	father	<b>おとうさん</b> は かいしゃいん です	My father's a company employee.	0	0
144	ちち	(speaker's)father	わたし は <b>ちち</b> が だいすき です	I love my father.	0	0
145	おかあさん	mother	<b>おかあさん</b> に よろしく おつたえ ください	Please give my best to your mother.	0	0
146	すく	be empty	れすとらん は <b>すいて いました</b>	The restaurant was empty.	0	0
147	はは	(speaker's)mother	きのう <b>はは</b> と はなし を しました	I talked to my mother yesterday.	0	0
148	おや	parent	<b>おや</b> の あい は ありがたい	We're grateful for our parents' love.	0	0
149	あね	older sister	<b>あね</b> は だいがくせい です	My big sister's a college student.	0	0
150	おねえさん	older sister	きのう あなた の <b>おねえさん</b> に あった よ	I met your older sister yesterday.	0	0
151	いもうと	younger sister	わたし の <b>いもうと</b> は しょうがくせい です	My little sister goes to elementary school.	0	0
152	おなか	stomach	<b>おなか</b> が すきました	I'm hungry.	0	0
153	あに	older brother	<b>あに</b> は すいえい が とくい です	My big brother is good at swimming.	0	0
154	おにいさん	older brother	あなた の <b>おにいさん</b> は なんさい	How old's your big brother?	0	0
155	おとうと	younger brother	<b>おとうと</b> は やきゅう が すき です	My little brother likes baseball.	0	0
156	むすめ	daughter, girl	わたし の <b>むすめ</b> は あめりか に います	My daughter is in the United States.	0	0
157	むすこ	son	うち の <b>むすこ</b> は だいがく いちねんせい です	My son's a college freshman.	0	0
158	わかい	young	かれ は まだ <b>わかい</b> です	He's still young.	0	0
159	かのじょ	she, one's girlfriend	<b>かのじょ</b> は おーえる です	She's an office worker.	0	0
160	かれ	he, one's boyfriend	<b>かれ</b> は わたし の じょうし です	He's my senior.	0	0
161	けっこん	marriage	かのじょ は らいげつ <b>けっこん</b> します	She's getting married next month.	0	0
162	ミーティング	meeting	あさ 9 じ から <b>みーてぃんぐ</b> が はじまった	The meeting started at 9 a.m.	0	0
163	いえ	house, home	ここ が わたし の <b>いえ</b> です	This is my house.	0	0
164	じてんしゃ	bicycle	まいにち えき まで <b>じてんしゃ</b> で いきます	I go to the station by bike every day.	0	0
165	じぶん	self, oneself	しゅくだい は <b>じぶん</b> で やりなさい	Do your homework by yourself.	0	0
166	ごしゅじん	(your) husband	<b>ごしゅじん</b> は おげんき です か	How is your husband?	0	0
167	こたえる	answer, reply	わたし の しつもん に <b>こたえて</b> ください	Please answer my question.	0	0
168	べつ	another, different	<b>べつ</b> の ほん も みせて ください	Please show me another book.	0	0
169	びょうき	illness	そふ が <b>びょうき</b> に なった	My grandfather got sick.	0	0
170	しぬ	die	いぬ が びょうき で <b>しにました</b>。	Our dog got sick and died.	0	0
171	いたい	painful	きょう は あたま が <b>いたい</b> です	I have a headache today.	0	0
172	さけ	alcoholic drink, Japanese rice wine	かのじょ は <b>さけ</b> に つよい	She holds her liquor well.	0	0
173	いっぱい	full	ぷーる は ひと で <b>いっぱい</b> です	The pool is packed.	0	0
174	とぶ	fly	とり が <b>とんで います</b>	A bird is flying.	0	0
175	ひこうき	airplane	むすこ は <b>ひこうき</b> の おもちゃ が すき です	My son likes toy airplanes.	0	0
176	おねがい	favor	<b>おねがい</b> が あります	I have a favor to ask.	0	0
177	つづく	continue, follow	こうじ は さんがつ まで <b>つづきます</b>	Construction will continue until March.	0	0
178	にっき	diary	わたし は まいにち <b>にっき</b> を つけて います	I keep a diary every day.	0	0
179	くび	neck	きりん の <b>くび</b> は ながい	Giraffes' necks are long.	0	0
180	かお	face	かれ は たおる で <b>かお</b> を ふきました	He wiped his face with a towel.	0	0
181	あれ	that over there	<b>あれ</b> は なん です か	What's that?	0	0
182	かんじる	feel, sense	ひざ に いたみ を <b>かんじます</b>	I feel a pain in my knee.	0	0
183	ひらく	open	さんじゅうにぺーじ を <b>ひらいて</b> ください	Please open to page 32.	0	0
184	おちる	fall, sink	さる も き から <b>おちる</b>	Monkeys also fall from trees.	0	0
185	おてあらい	toilet, bathroom	<b>おてあらい</b> は どこ です か	Where's the bathroom?	0	0
186	つめたい	cold (things, touch)	<b>つめたい</b> のみもの を ください	Please give me a cold drink.	0	0
187	きたない	dirty	かれ の へや は とても <b>きたない</b>	His room is very dirty.	0	0
188	ふとい	thick, fat	かのじょ は あし が <b>ふとい</b>	She has fat legs.	0	0
189	くもる	become cloudy	あす は ひるごろ から <b>くもる</b> でしょう	It'll probably get cloudy around noon tomorrow.	0	0
190	きいろい	yellow	かのじょ に <b>きいろい</b> ばら を かいました	I bought her a yellow rose.	0	0
191	のち	after, afterwards	<b>のち</b> に かれ は そうり だいじん に なりました	He would later become Prime Minister.	0	0
192	いっしょに	together, at the same time	<b>いっしょに</b> かえりましょう	Let's go home together.	0	0
193	みどり	green, foliage	この まち に は <b>みどり</b> が たくさん あります	There's a lot of greenery in this town.	0	0
194	りゅうがくせい	student studying abroad	かれ は <b>りゅうがくせい</b> です	He's a foreign student.	0	0
195	もどる	return, turn back	いま かいしゃ に <b>もどります</b>	I'm going back to the office now.	0	0
196	おきる	get up, get out of bed@occur	わたし は まいあさ ろくじ に <b>おきます</b>@きんじょ で とうなん じけん が <b>おきました</b>	I get up at six o'clock every morning.@Some burglaries occurred in the neighborhood.	0	0
197	やさしい	gentle, kind@easy, simple	かれ は とても <b>やさしい</b> ひと です@この もんだい は かなり <b>やさしい</b> です	He's a very kind person.@This problem is pretty easy.	0	0
198	ねる	sleep, go to sleep	もう <b>ねよう</b>	Let's go to bed.	0	0
199	ほそい	thin, slender, narrow	かのじょ は ゆび が <b>ほそい</b> です ね	Her fingers are thin.	0	0
200	のせる	place, put on	さら に けーき を <b>のせました</b>。	I put the cake on the plate.	0	0
201	あまい	sweet	この いちご は <b>あまい</b>	This strawberry is sweet.	0	0
202	こっち	here	<b>こっち</b> に きて ください	Please come here.	0	0
203	おっと	husband	わたし の <b>おっと</b> は さらりーまん です	My husband is a company employee.	0	0
204	つま	wife	きょう は <b>つま</b> の たんじょうび だ	It's my wife's birthday today.	0	0
205	だれ	who, whom	<b>だれ</b> と あって みたい です か	Who would you like to meet one day?	0	0
206	あいする	love, care for	わたし は かぞく を <b>あいして います</b>	I love my family.	0	0
207	わらう	laugh, smile	あかんぼう が <b>わらって います</b>	The baby is laughing.	0	0
208	すっぱい	sour	この ぶどう は <b>すっぱい</b> です	These grapes are sour.	0	0
209	ことば	word, language	この <b>ことば</b> の いみ が わかりません	I don't understand the meaning of this word.	0	0
210	よぶ	call, name	うぇいたー を <b>よびましょう</b>	Let's call the waiter.	0	0
211	むね	chest	<b>むね</b> に すこし いたみ が あります	I have a slight pain in my chest.	0	0
212	こし	hip, lower back	きのう から <b>こし</b> が いたい	I've had a pain in my lower back since yesterday.	0	0
213	せ	height, stature	かのじょ は <b>せ</b> が たかい	She's tall.	0	0
214	かたかな	katakana	おなまえ を <b>かたかな</b> で かいて ください	Please write your name in katakana.	0	0
215	ひらがな	hiragana	わたし は <b>ひらがな</b> を ぜんぶ よめます	I can read all the hiragana.	0	0
216	かなしい	sad	その えいが は とても <b>かなしかった</b>	That movie was very sad.	0	0
217	うつくしい	beautiful	この え は <b>うつくしい</b> です	This picture is beautiful.	0	0
218	じゅぎょう	class, lesson	きょう は にほんご の <b>じゅぎょう</b> が あります	There's going to be a Japanese class today.	0	0
219	あそこ	over there	<b>あそこ</b> に ばすてい が あります	There's a bus stop over there.	0	0
220	てつだう	help, assist	わたし が <b>てつだいましょう</b>	Can I help you?	0	0
221	せまい	narrow, restricted	わたし の へや は <b>せまい</b> です	My room is small.	0	0
222	さわる	touch, feel	え に <b>さわらない で</b> ください	Please don't touch the painting.	0	0
223	きらい	dislike	わたし は たばこ が <b>きらい</b> です	I hate cigarettes.	0	0
224	あびる	take (a shower)	わたし は あさ しゃわー を <b>あびます</b>	I take a shower in the morning.	0	0
225	かみのけ	hair	<b>かみのけ</b> が のびた ね	Your hair's longer, isn't it?	0	0
226	おいしい	tasty	この けーき は <b>おいしい</b> ね	This cake is yummy.	0	0
227	うで	arm	かれ の <b>うで</b> は ふとい	He has big arms.	0	0
228	くるま	car, automobile@car	おとうと が <b>くるま</b> を かった@この みち は <b>くるま</b> が おおい	My younger brother bought a car.@There are many cars on this road.	0	0
229	ぼく	I (young male)	<b>ぼく</b> は がくせい です	I'm a student.	0	0
230	だめ	no good	かれ は <b>だめ</b> な おとこ だ	He's a loser.	0	0
231	だいじょうぶ	alright, OK	<b>だいじょうぶ</b> です か	Are you OK?	0	0
232	きれい	beautiful	かのじょ は とても <b>きれい</b> だ	She's very beautiful.	0	0
233	うれしい	happy, glad	かれ に あえて <b>うれしかった</b>	I was glad to meet him.	0	0
234	ため	sake, purpose	これ は いしゃ の <b>ため</b> の さいと です	This is a site for doctors.	0	0
235	より	more, further	これから <b>より</b> いっそう どりょく します	I'll work that much harder from now.	0	0
236	ほか	other	<b>ほか</b> に ほうほう が ありません	There's no other way.	0	0
237	てら	buddhist temple	あそこ に ふるい お<b>てら</b> が あります	There's an old temple there.	0	0
238	ドル	dollar	この ふく は さんびゃく<b>どる</b> しました	These clothes cost 300 dollars.	0	0
239	システム	system	すべて の <b>しすてむ</b> が ていし した	All systems have stopped.	0	0
240	じゅうぶん	full, plentiful	おかね は まだ <b>じゅうぶん</b> あります	We still have plenty of money.	0	0
241	わける	divide into parts, sort, share	おかし を みんな で <b>わけました</b>	We shared the sweets with everyone.	0	0
242	コンピューター	computer	あたらしい <b>こんぴゅーたー</b> を かった	I bought a new computer.	0	0
243	まず	first	かえったら <b>まず</b> て を あらいましょう 。	When you get home, wash your hands first.	0	0
244	せんげつ	last month	<b>せんげつ</b> ともだち の けっこんしき が あった	My friend's wedding was held last month.	0	0
245	せんしゅう	last week	<b>せんしゅう</b> は うみ に いった	I went to the beach last week.	0	0
246	いままで	until now, so far	<b>いままで</b> どこ に いた の です か	Where were you until now?	0	0
247	らいげつ	next month	<b>らいげつ</b> から だいがくせい に なります	I'll be a college student beginning next month.	0	0
248	とし	year, age@cities, urban community	あたらしい <b>とし</b> が はじまりました@とうきょう は にほんいち おおき な <b>とし</b> です	A new year has started.@Tokyo is the largest city in Japan.	0	0
249	らいしゅう	next week	つづき は <b>らいしゅう</b> やりましょう	Let's continue next week.	0	0
250	ロボット	robot	かれ は <b>ろぼっと</b> の けんきゅう を しています 。	He is doing research on robots.	0	0
251	おこなう	do, carry out	その かいしゃ は らいげつ きゃんぺーん を <b>おこなう</b>	That company is going to run a campaign next month.	0	0
252	かえり	return, going home	しごと の <b>かえり</b> に びーる を のんだ	I had a beer on the way home from work.	0	0
253	ほとんど	almost, hardly	おかね が <b>ほとんど</b> ありません	There's hardly any money.	0	0
254	おおきさ	size, dimensions	この <b>おおきさ</b> の ふうとう が ほしい の です が	I'd like an envelope of this size.	0	0
255	だいぶ	very, greatly	<b>だいぶ</b> ぴあの が うまく なりました	You've gotten pretty good at the piano.	0	0
256	しょうねん	boy	<b>しょうねん</b>たち が さっかー を して いる	The boys are playing soccer.	0	0
257	パソコン	personal computer	かれ は <b>ぱそこん</b> を にだい もって います	He has two personal computers.	0	0
258	すこしも	at all	あなた は <b>すこしも</b> わるく ない	It's not your fault at all.	0	0
259	おおく	much, largely	まいとし <b>おおく</b> の ひと が かいがい へ りょこう する	A lot of people travel abroad every year.	0	0
260	としうえ	older, senior	かれ は わたし より <b>としうえ</b> です	He's older than me.	0	0
261	はな	flower@nose	きれい な <b>はな</b> が さきました@<b>はな</b> が かゆい です	Beautiful flowers have bloomed.@My nose itches.	0	0
262	のぼり	going up, ascent	これ は <b>のぼり</b> でんしゃ です	This is the train going downtown.	0	0
263	さげる	lower, turn down	すこし おんりょう を <b>さげて</b> ください	Please turn the volume down a little.	0	0
264	プログラム	program	うけつけ で <b>ぷろぐらむ</b> を うけとった	I got my program at the reception.	0	0
265	さがる	come down, hang down, fall	やっと ねつ が <b>さがった</b>	His fever finally went down.	0	0
266	くだり	downhill, going down	もうすぐ <b>くだり</b> の でんしゃ が はっしゃ します	The train out of the city leaves soon.	0	0
267	としした	younger, junior	かれ は おくさん より <b>としした</b> です	He's younger than his wife.	0	0
268	くだる	go down, go down or away from a central place	ちいさ な ふね が かわ を <b>くだって います</b>	A small ship is going down the river.	0	0
269	いっぽう	one way	ここ は <b>いっぽう</b> つうこう です	This is a one-way street.	0	0
270	まま	as is, still (in the current state)	でんき が ついた <b>まま</b> です よ	The light is still on.	0	0
271	ふたり	two persons	きょう は つま と <b>ふたり</b> で しょくじ を します	Today I'm having dinner with my wife, just the two of us.	0	0
272	おとなしい	gentle, quiet, subdued	わたし の かのじょ は とても <b>おとなしい</b> です	My girlfriend's very quiet.	0	0
273	ひとびと	people	あの むら の <b>ひとびと</b> は とても しんせつ です	People in that village are very kind.	0	0
274	ひとりで	by oneself	きょう は <b>ひとりで</b> えいが を みます	I saw a movie by myself today.	0	0
275	テレビ	television	わたし は <b>てれび</b> を あまり みません	I don't watch much TV.	0	0
276	がいじん	foreigner, alien	この まち に は <b>がいじん</b> が すくない	There are few foreigners in this town.	0	0
277	そと	outside, open air	<b>そと</b> は あついよ	It's hot outside.	0	0
278	とまる	come to a stop, cease@stay overnight	けさ じこ で でんしゃ が <b>とまりました</b>@きょう は この ほてる に <b>とまります</b>	The train stopped this morning due to an accident.@I'm staying at this hotel today.	0	0
279	きゅうじつ	holiday, day off	<b>きゅうじつ</b> は いえ で よく てれび を みます	I often watch television at home on my days off.	0	0
280	やすみ	rest, holiday, absence	もくようび は しごと が <b>やすみ</b> です	Thursday is my day off work.	0	0
281	ソフト	software, programme	この <b>そふと</b> で にほんご を べんきょう する こと が できます	You can study Japanese with this software.	0	0
282	ちから	strength, power	おすもうさん は みんな <b>ちから</b>もち だ	All sumo wrestlers are strong.	0	0
283	でぐち	exit, exit ramp	<b>でぐち</b> は あそこ です	The exit's over there.	0	0
284	ゆき	going@snow, snowfall	とうきょう<b>ゆき</b> の れっしゃ に のった@くりすます に <b>ゆき</b> が ふりました	I got on the Tokyo-bound train.@It snowed at Christmas.	0	0
285	いりぐち	entrance	<b>いりぐち</b> は むこう です	The entrance is over there.	0	0
