Kanji	English	Reading	Example Sentence	Example Sentence Reading	English Sentence	reading score	writing score
今週	this week	こんしゅう	<b>今週</b>は日本語のテストがあります。	<b>こんしゅう</b> は にほんご の てすと が あります	There's a Japanese test this week.	0	0
来る	come	くる	彼は昼過ぎに<b>来ます</b>。	かれ は ひるすぎ に <b>きます</b>	He'll come after lunch.	0	0
来年	next year	らいねん	<b>来年</b>一緒に旅行しましょう。	<b>らいねん</b> いっしょ に りょこう しましょう	Let's travel together next year.	0	0
行く	go	いく	日曜日は図書館に<b>行きます</b>。	にちようび は としょかん に <b>いきます</b>	I go to the library on Sundays.	0	0
帰る	return, go back	かえる	家に<b>帰ろう</b>。	うち に <b>かえろう</b>	Let's go home.	0	0
大きい	big	おおきい	あの<b>大きい</b>建物は何ですか。	あの <b>おおきい</b> たてもの は なん です か	What's that big building?	0	0
小さい	small	ちいさい	<b>小さい</b>花が咲いています。	<b>ちいさい</b> はな が さいて います	Small flowers are blooming.	0	0
少ない	few, little	すくない	今年は雨が<b>少ない</b>です。	ことし は あめ が <b>すくない</b> です 。	There's not much rain this year.	0	0
少し	a bit, a little while	すこし	<b>少し</b>疲れました。	<b>すこし</b> つかれました	I'm a little tired.	0	0
多い	lots of	おおい	京都にはお寺が<b>多い</b>。	きょうと に は おてら が <b>おおい</b>	There are a lot of temples in Kyoto.	0	0
多分	probably, perhaps	たぶん	彼女は<b>多分</b>家で寝ています。	かのじょ は <b>たぶん</b> いえ で ねて います	She's probably sleeping at home.	0	0
上げる	raise, improve	あげる	彼は荷物をあみだなに<b>上げた</b>。	かれ は にもつ を あみだな に <b>あげた</b>	He put the luggage on the luggage rack.	0	0
上る	go up	のぼる	猫が屋根に<b>上っている</b>。	ねこ が やね に <b>のぼって いる</b>	The cat's up on the roof.	0	0
右	right	みぎ	<b>右</b>のポケットにハンカチが入っています。	<b>みぎ</b> の ぽけっと に はんかち が はいって います	There's a handkerchief in my right pocket.	0	0
左	left	ひだり	そこを<b>左</b>に曲がってください。	そこ を <b>ひだり</b> に まがって ください	Please turn left there.	0	0
人	person	ひと	彼は優しい<b>人</b>です。	かれ は やさしい <b>ひと</b> です	He's a nice guy.	0	0
一人	one, one person	ひとり	そこには私<b>一人</b>しかいなかった。	そこ に は わたし <b>ひとり</b> しか いなかった	I was the only one there.	0	0
どう	how, what	どう	あなたは<b>どう</b>思いますか。	あなた は <b>どう</b> おもいます か	What do you think?	0	0
入れる	put in	いれる	彼はかばんに手帳を<b>入れた</b>。	かれ は かばん に てちょう を <b>いれた</b>	He put the appointment book in his bag.	0	0
入る	enter	はいる	寒いので中に<b>入って</b>ください。	さむい の で なか に <b>はいって</b> ください	It's cold so please come inside.	0	0
出る	go out, leave	でる	今朝は早く家を<b>出ました</b>。	けさ は はやく いえ を <b>でました</b>	I left the house early this morning.	0	0
出来る	can do, be good at	できる	彼女はイタリア語が<b>出来ます</b>。	かのじょ は いたりあご が <b>できます</b>	She knows Italian.	0	0
出す	take out	だす	彼はかばんから教科書を<b>出した</b>。	かれ は かばん から きょうかしょ を <b>だした</b>	He took the textbook out of his bag.	0	0
本	book, volume	ほん	<b>本</b>を１冊買いました。	<b>ほん</b> を いっさつ かいました	I bought one book.	0	0
休む	take a day off, take a break	やすむ	明日、会社を<b>休みます</b>。	あした かいしゃ を <b>やすみます</b>	I'm off work tomorrow.	0	0
体	body, health	からだ	私は<b>体</b>が丈夫だ。	わたし は <b>からだ</b> が じょうぶ だ	I'm physically strong.	0	0
目	eye	め	彼女は青い<b>目</b>をしています。	かのじょ は あおい <b>め</b> を して います	She has blue eyes.	0	0
どこ	where	どこ	あの本を<b>どこ</b>に置きましたか。	あの ほん を <b>どこ</b> に おきました か	Where did you put that book?	0	0
口	mouth	くち	<b>口</b>を大きく開けてください。	<b>くち</b> を おおきく あけて ください	Open wide, please.	0	0
耳	ear, hearing	みみ	彼女は<b>耳</b>がよく聞こえません。	かのじょ は <b>みみ</b> が よく きこえません	Her hearing isn't very good.	0	0
上手	good, skilled	じょうず	妹は歌が<b>上手</b>です。	いもうと は うた が <b>じょうず</b> です	My little sister can sing.	0	0
手	hand	て	分かった人は<b>手</b>を上げてください。	わかった ひと は <b>て</b> を あげて ください	Please raise your hand if you understand.	0	0
足	leg, foot	あし	彼は<b>足</b>が長い。	かれ は <b>あし</b> が ながい	He has long legs.	0	0
男	man, male	おとこ	<b>男</b>の人が私たちに話しかけた。	<b>おとこ</b> の ひと が わたしたち に はなしかけた	This guy began talking to us.	0	0
女	woman, girl	おんな	店員は若い<b>女</b>の人でした。	てんいん は わかい <b>おんな</b> の ひと でした	The salesclerk was a young woman.	0	0
子供	child, kid	こども	電車で<b>子供</b>が騒いでいた。	でんしゃ で <b>こども</b> が さわいで いた	Kids were making a racket in the train.	0	0
あげる	give	あげる	この本、あなたに<b>あげます</b>。	この ほん あなた に <b>あげます</b>	I'll give you this book.	0	0
好き	favorite, liked	すき	私はワインが<b>好き</b>です。	わたし は わいん が <b>すき</b> です	I like wine.	0	0
大好き	love	だいすき	私は犬が<b>大好き</b>だ。	わたし は いぬ が <b>だいすき</b> だ	I love dogs.	0	0
友達	friend, companion	ともだち	私には<b>友達</b>がたくさんいます。	わたし に は <b>ともだち</b> が たくさん います	I have a lot of friends.	0	0
気	spirit, temperament	き	彼は意外に<b>気</b>が小さい。	かれ は いがい に <b>き</b> が ちいさい	He's unexpectedly timid.	0	0
天気	weather	てんき	今日はいい<b>天気</b>ですね。	きょう は いい <b>てんき</b> です ね	It's nice out today.	0	0
晴れる	be sunny, clear up	はれる	明日は<b>晴れる</b>といいですね。	あした は <b>はれる</b> と いい です ね	I hope it'll be sunny tomorrow.	0	0
こう	like this, this kind of	こう	<b>こう</b>小さい字は読めない。	<b>こう</b> ちいさい じ は よめない	I can't read such small letters.	0	0
閉じる	close	とじる	教科書を<b>閉じて</b>ください。	きょうかしょ を <b>とじて</b> ください	Please close your textbooks.	0	0
閉める	shut, close	しめる	ちゃんとドアを<b>閉めて</b>よ。	ちゃんと どあ を <b>しめて</b>よ	Close the door properly.	0	0
閉まる	be shut, be closed	しまる	お店はもう<b>閉まっていました</b>。	おみせ は もう <b>しまって いました</b>	The shop had already closed.	0	0
聞く	hear, ask	きく	彼女はラジオを<b>聞いています</b>。	かのじょ は らじお を <b>きいて います</b>	She's listening to the radio.	0	0
時間	time, hour	じかん	今は<b>時間</b>がありません。	いま は <b>じかん</b> が ありません	I don't have time now.	0	0
高い	high, tall	たかい	これがこの町で一番<b>高い</b>ビルです。	これ が この まち で いちばん <b>たかい</b> びる です	This is the tallest building in town.	0	0
くれる	be given	くれる	友達が誕生日プレゼントを<b>くれた</b>。	ともだち が たんじょうび ぷれぜんと を <b>くれた</b>	My friend gave me a birthday present.	0	0
安い	inexpensive, cheap	やすい	この服はとても<b>安かった</b>。	この ふく は とても <b>やすかった</b>	These clothes were very cheap.	0	0
低い	low, short	ひくい	彼は背が<b>低い</b>。	かれ は せ が <b>ひくい</b>	He's short.	0	0
前	front, before	まえ	その店の<b>前</b>で会いましょう。	その みせ の <b>まえ</b> で あいましょう	Let's meet in front of the shop.	0	0
後ろ	back, behind	うしろ	<b>後ろ</b>を向いて。	<b>うしろ</b> を むいて	Turn around.	0	0
午後	afternoon, p.m.	ごご	明日の<b>午後</b>、お客様が来る。	あす の <b>ごご</b> おきゃくさま が くる	A guest is coming to visit tomorrow afternoon.	0	0
午前	morning, a.m.	ごぜん	<b>午前</b>9時のニュースです。	<b>ごぜん</b> くじ の にゅーす です	And now for the 9.00 a.m. news.	0	0
朝	morning	あさ	気持ちのいい<b>朝</b>です。	きもち の いい <b>あさ</b> です	It's a pleasant morning.	0	0
昼	daytime, midday	ひる	私は<b>昼</b>のドラマを毎日見ます。	わたし は <b>ひる</b> の どらま を まいにち みます	I watch daytime dramas every day.	0	0
かなり	fairly, rather	かなり	彼は<b>かなり</b>英語が上手です。	かれ は <b>かなり</b> えいご が じょうず です	He's pretty good at English.	0	0
晩	evening (usually from sunset to bedtime)	ばん	<b>晩</b>ご飯は食べましたか。	<b>ばん</b>ごはん は たべました か	Have you had dinner?	0	0
今晩	this evening, tonight	こんばん	<b>今晩</b>のパーティーは何時からですか。	<b>こんばん</b> の ぱーてぃー は なんじ から です か	From what time is the party tonight?	0	0
食べる	eat	たべる	昨日タイカレーを<b>食べました</b>。	きのう たいかれー を <b>たべました</b>	I had Thai curry yesterday.	0	0
飲む	drink	のむ	友達とお酒を<b>飲んでいます</b>。	ともだち と おさけ を <b>のんで います</b>	I'm drinking sake with a friend.	0	0
ご飯	cooked rice, meal	ごはん	私はパンより<b>ご飯</b>が好きだ。	わたし は ぱん より <b>ごはん</b> が すき だ	I prefer rice to bread.	0	0
買う	buy	かう	郵便局で切手を<b>買いました</b>。	ゆうびんきょく で きって を <b>かいました</b>	I bought a stamp at the post office.	0	0
見る	see, look at	みる	私は絵を<b>見る</b>のが好きです。	わたし は え を <b>みる</b> の が すき です	I like looking at pictures.	0	0
見せる	show	みせる	その写真を<b>見せて</b>ください。	その しゃしん を <b>みせて</b> ください	Please show me those pictures.	0	0
もっと	more	もっと	<b>もっと</b>近くに来てください。	<b>もっと</b> ちかく に きて ください	Please come closer.	0	0
見つける	find	みつける	新しい仕事を<b>見つけました</b>。	あたらしい しごと を <b>みつけました</b>。	I found a new job.	0	0
見える	be visible	みえる	ここから富士山がよく<b>見えます</b>。	ここ から ふじさん が よく <b>みえます</b>	You can see Mount Fuji well from here.	0	0
見つかる	be found, be caught	みつかる	メガネが<b>見つかりません</b>。	めがね が <b>みつかりません</b>	I can't find my glasses.	0	0
言う	say, tell	いう	上司が「一杯、飲もう。」と<b>言った</b>。	じょうし が いっぱい のもう と <b>いった</b>	My boss said: ""Let's have a drink.""	0	0
話す	speak, tell	はなす	母と電話で<b>話しました</b>。	はは と でんわ で <b>はなしました</b>	I spoke to my mother on the phone.	0	0
読む	read	よむ	彼女は雑誌を<b>読んでいます</b>。	かのじょ は ざっし を <b>よんで います</b>	She's reading the magazine.	0	0
漢字	character, kanji	かんじ	<b>漢字</b>は中国から来ました。	<b>かんじ</b> は ちゅうごく から きました	Kanji came from China.	0	0
書く	write	かく	彼に手紙を<b>書きました</b>。	かれ に てがみ を <b>かきました</b>	I wrote him a letter.	0	0
覚える	memorize, learn	おぼえる	妹は平仮名を全部<b>覚えました</b>。	いもうと は ひらがな を ぜんぶ <b>おぼえました</b>	My little sister learned all the hiragana.	0	0
そこ	there	そこ	<b>そこ</b>に座ってください。	<b>そこ</b> に すわって ください	Please sit there.	0	0
会う	meet	あう	また<b>会いましょう</b>。	また <b>あいましょう</b>	Let's meet again.	0	0
仕事	work, job	しごと	3月は<b>仕事</b>が忙しい。	さんがつ は <b>しごと</b> が いそがしい	I have a lot of work in March.	0	0
場合	situation, case	ばあい	分からない<b>場合</b>は私に聞いてください。	わからない <b>ばあい</b> は わたし に きいて ください	Please ask me if you don't understand.	0	0
電車	train	でんしゃ	私は<b>電車</b>で通学しています。	わたし は <b>でんしゃ</b> で つうがく して います	I go to school by train.	0	0
駅	railway station	えき	<b>駅</b>はどこですか。	<b>えき</b> は どこ です か	Where's the station?	0	0
道	road, street	みち	この<b>道</b>を真っ直ぐ行くと駅です。	この <b>みち</b> を まっすぐ いく と えき です	Go straight along this road to get to the station.	0	0
ここ	here	ここ	<b>ここ</b>に本があります。	<b>ここ</b> に ほん が あります	There's a book here.	0	0
歩く	walk, go on foot	あるく	駅まで<b>歩きましょう</b>。	えき まで <b>あるきましょう</b>	Let's walk to the station.	0	0
走る	run	はしる	彼は毎晩3キロ<b>走っています</b>。	かれ は まいばん さんきろ <b>はしって います</b>	Every night he runs three kilometers.	0	0
近い	near, soon	ちかい	駅はここから<b>近い</b>です。	えき は ここ から <b>ちかい</b> です	The station is near here.	0	0
近く	near, close to@vicinity, nearby	ちかく@ちかく	駅の<b>近く</b>で食事をした。@私の家は駅の<b>近く</b>です。	えき の <b>ちかく</b> で しょくじ を した@わたし の いえ は えき の <b>ちかく</b> です	I ate near the station.@My house is near the station.	0	0
遠い	far, distant	とおい	家から学校までは<b>遠い</b>です。	いえ から がっこう まで は <b>とおい</b> です	It's a long way from my house to the school.	0	0
長い	long	ながい	彼女の髪はとても<b>長い</b>。	かのじょ の かみ は とても <b>ながい</b>	Her hair is very long.	0	0
短い	short, brief	みじかい	彼は足が<b>短い</b>。	かれ は あし が <b>みじかい</b>	His legs are short.	0	0
広い	wide, big	ひろい	彼の家はとても<b>広い</b>。	かれ の いえ は とても <b>ひろい</b>	His house is very big.	0	0
もらう	receive	もらう	彼女からプレゼントを<b>もらいました</b>。	かのじょ から ぷれぜんと を <b>もらいました</b>	I got a present from her.	0	0
全部	all, wholly	ぜんぶ	それ、<b>全部</b>ください。	それ <b>ぜんぶ</b> ください	I'd like all of those, please.	0	0
国	country	くに	私の<b>国</b>について少しお話しましょう。	わたし の <b>くに</b> に ついて すこし おはなし しましょう	Let me tell you a bit about my country.	0	0
白い	white, blank	しろい	彼は歯が<b>白い</b>。	かれ は は が <b>しろい</b>	His teeth are white.	0	0
赤い	red	あかい	<b>赤い</b>バラを買いました。	<b>あかい</b> ばら を かいました	I bought a red rose.	0	0
部屋	room	へや	私の<b>部屋</b>は2階にあります。	わたし の <b>へや</b> は にかい に あります	My room is on the second floor.	0	0
米	rice (grain)	こめ	日本人はお<b>米</b>が大好きです。	にほんじん は お<b>こめ</b> が だいすき です	Japanese people love rice.	0	0
未だ	yet, more	まだ	宿題は<b>未だ</b>終わっていません。	しゅくだい は <b>まだ</b> おわって いません	I haven't finished my homework yet.	0	0
有る	exist, possess	ある	私の机の上に書類がたくさん<b>有ります</b>。	わたし の つくえ の うえ に しょるい が たくさん <b>あります</b>	There are a lot of documents on my desk.	0	0
無い	to not be	ない	ここには何も<b>無い</b>。	ここ に は なに も <b>ない</b>	There's nothing here.	0	0
とても	very	とても	この本は<b>とても</b>おもしろい。	この ほん は <b>とても</b> おもしろい	This book is very interesting.	0	0
作る	make, create	つくる	今、朝ご飯を<b>作っています</b>。	いま あさごはん を <b>つくって います</b>	I'm making breakfast now.	0	0
使う	use	つかう	このパソコンを<b>使って</b>ください。	この ぱそこん を <b>つかって</b> ください	Please use this computer.	0	0
消す	switch off, turn off	けす	昼間は電気を<b>消して</b>ください。	ひるま は でんき を <b>けして</b> ください	Please turn the lights off during the day.	0	0
売る	sell	うる	彼は家を<b>売った</b>。	かれ は いえ を <b>うった</b>	He sold the house.	0	0
店	shop, store	みせ	私はこの<b>店</b>によく来ます。	わたし は この <b>みせ</b> に よく きます	I come to this store quite often.	0	0
春	spring	はる	今年の<b>春</b>は暖かいね。	ことし の <b>はる</b> は あたたかい ね	It's warm this spring, isn't it.	0	0
夏	summer	なつ	私は<b>夏</b>が大好き。	わたし は <b>なつ</b> が だいすき	I just love summer.	0	0
秋	autumn, fall	あき	彼女は<b>秋</b>に結婚します。	かのじょ は <b>あき</b> に けっこん します	She'll get married this fall.	0	0
冬	winter	ふゆ	カナダの<b>冬</b>はとても寒いです。	かなだ の <b>ふゆ</b> は とても さむい です	Canada's winters are very cold.	0	0
みんな	all, everybody	みんな	<b>みんな</b>にお菓子をあげましょう。	<b>みんな</b> に おかし を あげましょう	Let's give everyone some sweets.	0	0
暑い	hot, warm (temperature of the air)	あつい	今日はとても<b>暑い</b>。	きょう は とても <b>あつい</b>	It's very hot today.	0	0
熱い	hot (things, touch)	あつい	このスープはとても<b>熱い</b>。	この すーぷ は とても <b>あつい</b>	This soup is very hot.	0	0
寒い	cold (temperature of the air)	さむい	この部屋は<b>寒い</b>です。	この へや は <b>さむい</b> です	It's cold in this room.	0	0
暖かい	warm	あたたかい	このコートはとても<b>暖かい</b>。	この こーと は とても <b>あたたかい</b>。	This coat is really warm.	0	0
新しい	new	あたらしい	彼の車は<b>新しい</b>。	かれ の くるま は <b>あたらしい</b>	His car is new.	0	0
古い	old	ふるい	私は<b>古い</b>車が好きです。	わたし は <b>ふるい</b> くるま が すき です	I like old cars.	0	0
悪い	bad	わるい	たばこは体に<b>悪い</b>。	たばこ は からだ に <b>わるい</b>	Cigarettes are bad for your health.	0	0
七	seven@seven	なな@しち	バナナが<b>七</b>本あります。@そのグループのメンバーは全部で<b>七</b>人だ。	ばなな が <b>なな</b>ほん あります@その ぐるーぷ の めんばー は ぜんぶ で <b>しち</b>にん だ	There are seven bananas.@There are seven members of the group in all.	0	0
思う	think	おもう	私もそう<b>思います</b>。	わたし も そう <b>おもいます</b>	I think so too.	0	0
なる	become@become	なる@なる	彼は医者に<b>なりました</b>。@柿の木に実がたくさん<b>なっています</b>。	かれ は いしゃ に <b>なりました</b>@かきのき に み が たくさん <b>なって います</b>	He became a doctor.@A lot of fruit is ripening on the persimmon tree.	0	0
忘れる	forget, leave behind	わすれる	約束を<b>忘れないで</b>ください。	やくそく を <b>わすれない で</b> ください	Please don't forget your promise.	0	0
九	nine@nine	きゅう@く	野球は<b>九</b>人で1チームです。@私は<b>九</b>月に行く予定です。	やきゅう は <b>きゅう</b>にん で ひとちーむ です@わたし は <b>く</b>がつ に いく よてい です	In baseball there are nine people on one team.@I plan to go in September.	0	0
考える	think, consider	かんがえる	よく<b>考えて</b>ください。	よく <b>かんがえて</b> ください	Please think carefully.	0	0
決める	decide, agree upon	きめる	帰国することに<b>決めました</b>。	きこく する こと に <b>きめました</b>	I've decided to go back to my country.	0	0
決まる	be decided	きまる	旅行の日程が<b>決まりました</b>。	りょこう の にってい が <b>きまりました</b>	I've decided on my travel schedule.	0	0
知る	know	しる	誰もその話を<b>知らない</b>。	だれ も その はなし を <b>しらない</b>	No one knows that story.	0	0
一番	most	いちばん	彼はクラスで<b>一番</b>背が高い。	かれ は くらす で <b>いちばん</b> せ が たかい	He's the tallest in class.	0	0
住む	live, reside	すむ	彼は会社の近くに<b>住んでいる</b>。	かれ は かいしゃ の ちかく に <b>すんで いる</b>	He lives near his office.	0	0
名前	name	なまえ	あなたの<b>名前</b>を教えてください。	あなた の <b>なまえ</b> を おしえて ください	Please tell me your name.	0	0
食べ物	food	たべもの	日本の<b>食べ物</b>はとても美味しいです。	にっぽん の <b>たべもの</b> は とても おいしい です	Japanese food is very delicious.	0	0
いつ	when	いつ	彼女は<b>いつ</b>来ますか。	かのじょ は <b>いつ</b> きます か	When is she coming?	0	0
飲み物	beverage, drink	のみもの	何か<b>飲み物</b>が欲しいな。	なに か <b>のみもの</b> が ほしい な 。	I could really use something to drink.	0	0
重い	heavy	おもい	このかばんは<b>重い</b>です。	この かばん は <b>おもい</b> です	This bag is heavy.	0	0
軽い	light, light weight	かるい	この靴はとても<b>軽い</b>。	この くつ は とても <b>かるい</b>	These shoes are very light.	0	0
送る	send	おくる	彼の家に荷物を<b>送りました</b>。	かれ の いえ に にもつ を <b>おくりました</b>	I sent a package to his house.	0	0
取る	take, get	とる	テストでいい点を<b>取った</b>。	てすと で いい てん を <b>とった</b>	I got a good grade on the test.	0	0
待つ	wait, wait for	まつ	あなたが来るのを<b>待っています</b>。	あなた が くる の を <b>まって います</b>	I am waiting for you to come.	0	0
気持ち	feeling, sensation	きもち	彼の<b>気持ち</b>が分からない。	かれ の <b>きもち</b> が わからない	I don't understand his feelings.	0	0
金	money@gold, sum of money, Friday	かね@きん	これはかなり<b>金</b>がかかった。@彼女は<b>金</b>のネックレスをしています。	これ は かなり <b>かね</b> が かかった@かのじょ は <b>きん</b> の ねっくれす を して います	This cost quite a bit of money.@She's wearing a gold necklace.	0	0
生きる	live (one's life)	いきる	皆一生懸命<b>生きている</b>。	みんな いっしょうけんめい <b>いきて いる</b>	They're all living their lives the best way that they can.	0	0
どちら	which	どちら	肉と魚と<b>どちら</b>が好きですか。	にく と さかな と <b>どちら</b> が すき です か	Which do you prefer, meat or fish?	0	0
先生	teacher	せんせい	私は日本語の<b>先生</b>になりたいです。	わたし は にほんご の <b>せんせい</b> に なりたい です	I want to become a Japanese teacher.	0	0
